target,loss,explainer,threshold,acc_test,n_molecule_scores,n_pairs
1F0R-815,MSE,diff,60,0.650917989362098,331,174
1F0R-815,MSE,diff,65,0.659741101595034,267,142
1F0R-815,MSE,diff,70,0.6646725748998477,220,118
1F0R-815,MSE,diff,75,0.6726086048454468,190,102
1F0R-815,MSE,diff,80,0.6808749516066591,123,68
1F0R-815,MSE,diff,85,0.722051282051282,65,37
1F0R-815,MSE,diff,90,0.7803030303030302,22,15
1F0R-815,MSE,diff,95,0.8,5,4
1F0R-815,MSE,gradcam,50,0.6735757987802744,441,229
1F0R-815,MSE,gradcam,55,0.6775648641875026,383,200
1F0R-815,MSE,gradcam,60,0.6896066756338658,331,174
1F0R-815,MSE,gradcam,65,0.7162182906564932,267,142
1F0R-815,MSE,gradcam,70,0.724085573517392,220,118
1F0R-815,MSE,gradcam,75,0.723828320802005,190,102
